10
                  Notas originais           |            Notas com Peso             |
----------------------------------------------------------------------------------------------------------
codigo   MAT    LIN    HUM    NAT    RED    |    MAT    LIN    HUM    NAT    RED    |   Media_P  Situacao
----------------------------------------------------------------------------------------------------------
0001     5.3    4.0    5.5    8.2    5.0    |   26.5   12.0    5.5    8.2    5.0    |     5.2       RP

0002     4.3    8.5    5.5    9.0   10.0    |   21.5   25.5    5.5    9.0   10.0    |     6.5       AP

0003     6.4    7.2    5.9    7.7    9.0    |   32.0   21.6    5.9    7.7    9.0    |     6.9       AP

0004     7.8    4.1    8.0   10.0   10.0    |   39.0   12.3    8.0   10.0   10.0    |     7.2       AP

0005     8.9    8.5    9.5    8.0    8.5    |   44.5   25.5    9.5    8.0    8.5    |     8.7       AP

0006     4.8    6.7    8.5    5.4    3.2    |   24.0   20.1    8.5    5.4    3.2    |     5.6       RP

0007     3.4    8.7    5.6    4.7    5.5    |   17.0   26.1    5.6    4.7    5.5    |     5.4       RP

0008     9.5    8.7    5.8    7.5   10.0    |   47.5   26.1    5.8    7.5   10.0    |     8.8       AP

0009     5.4    9.7    8.5   10.0    9.5    |   27.0   29.1    8.5   10.0    9.5    |     7.6       AP

0010     8.5    7.5    3.4    2.2    4.5    |   42.5   22.5    3.4    2.2    4.5    |     6.8       AP

